text	term	sentiment
judging from previous posts this used to be a good $T$ , but not any longer .	place	negative
we , there were four of us , arrived at noon - the place was empty - and the $T$ acted like we were imposing on them and they were very rude .	staff	negative
the $T$ was lousy - too sweet or too salty and the portions tiny .	food	negative
the $T$ was lousy - too sweet or too salty and the portions tiny .	food	negative
the $T$ was lousy - too sweet or too salty and the portions tiny .	food	negative
the food was lousy - too sweet or too salty and the $T$ tiny .	portions	negative
avoid this $T$ !	place	negative
i was very disappointed with this $T$ .	restaurant	negative
ive asked a $T$ for a lotus leaf wrapped rice and she replied back rice and just walked away .	cart attendant	negative
$T$ was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .	chow fun	negative
chow fun was dry ; $T$ was more than usually greasy and had to share a table with loud and rude family .	pork shu mai	negative
i / we will never go back to this $T$ again .	place	negative
the $T$ is very average . . . the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .	food	negative
the food is very average . . . the $T$ is a bit too sweet , every thing they serve is too sweet here .	thai fusion stuff	negative
the decor is night tho . . . but they really need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this $T$ look sleek and modern .	place	negative
the decor is night tho . . . but they really need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this $T$ look sleek and modern .	place	negative
the decor is night tho . . . but they really need to clean that $T$ in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .	vent	negative
however , it ' s the $T$ that leaves a bad taste in my mouth .	service	negative
i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a $T$ intimidate me , i . e . make me feel bad asking for trivialities like water , or the check .	waiter	negative
i like the somosas , chai , and the chole , but the $T$ and dhal were kinda disappointing .	dhosas	negative
i like the somosas , chai , and the chole , but the dhosas and $T$ were kinda disappointing .	dhal	negative
the $T$ varys from day to day - sometimes they ' re very nice , and sometimes not .	service	negative
the $T$ however , is almost always slow .	kitchen	negative
the food was average to above - average ; the french onion soup filling yet not overly impressive , and the $T$ not brilliant in any way .	desserts	negative
however , go for the $T$ , and consider the food just a companion for a trip across the world !	ambience	negative
the $T$ was delivered cold and the cheese was n ' t even fully melted !	pizza	negative
the pizza was delivered cold and the $T$ was n ' t even fully melted !	cheese	negative
the $T$ is overpriced and soggy .	pizza	negative
the $T$ is overpriced and soggy .	pizza	negative
yes , they use fancy ingredients , but even fancy ingredients do n ' t make for good $T$ unless someone knows how to get the crust right .	pizza	negative
yes , they use fancy ingredients , but even fancy ingredients do n ' t make for good pizza unless someone knows how to get the $T$ right .	crust	negative
this $T$ is incredibly tiny .	place	negative
the $T$ is rude to the point of being offensive .	hostess	negative
the $T$ is rude to the point of being offensive .	hostess	negative
the $T$ was bland oily .	food	negative
but the $T$ is way to expensive .	pizza	negative
a large is $ 20 , and $T$ are about $ 3 each .	toppings	negative
i went there for $T$ and it was not as good as i expected from the reviews i read .	lunch	negative
$T$ was watery and the food did n ' t have much flavor .	sauce	negative
sauce was watery and the $T$ did n ' t have much flavor .	food	negative
the $T$ is small and cramped but the food is fantastic .	place	negative
the $T$ is small and cramped but the food is fantastic .	place	negative
the $T$ is n ' t the greatest , but i suppose that ' s how they keep the prices down .	atmosphere	negative
first it took us a long time to find the $T$ .	place	negative
but when we looked at the $T$ , there were n ' t a lot of choices , most of them were dumplings in the appetizer section .	menu	negative
those $T$ were big , but not good and sashimi was n ' t fresh .	rolls	negative
those rolls were big , but not good and $T$ was n ' t fresh .	sashimi	negative
admittedly some nights inside the $T$ were rather warm , but the open kitchen is part of the charm .	restaurant	negative
moules were excellent , $T$ was very salty !	lobster ravioli	negative
took my mom for mother ' s day , and the $T$ was pretty rude .	maitre d '	negative
tiny $T$ was $ 8 . 00 . . . just plain overpriced for what it is .	dessert	negative
tiny $T$ was $ 8 . 00 . . . just plain overpriced for what it is .	dessert	negative
tiny $T$ was $ 8 . 00 . . . just plain overpriced for what it is .	dessert	negative
when we stumbled on $T$ , we thought that we had found quite the gem but , we were certainly wrong .	leon	negative
the $T$ moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no . . .	waitress	negative
rude $T$ , medicore food . . . there are tons of restaurants in ny . . . stay away from this one	service	negative
two complaints - - their $T$ stinks , it would be nice to get some mozzarella sticks on the menu .	appetizer selection	negative
$T$ is blantently unappreciative of your business but its the best pie on the uws !	wait staff	negative
