text	term	sentiment
$T$ was okay , nothing great .	food	neutral
$T$ was okay , nothing great .	food	neutral
$T$ - awesome .	food	neutral
the $T$ is decent .	food	neutral
the food was average to above - average ; the $T$ filling yet not overly impressive , and the desserts not brilliant in any way .	french onion soup	neutral
decent $T$ at reasonable prices .	wine	neutral
those $T$ were big , but not good and sashimi was n ' t fresh .	rolls	neutral
$T$ is not exactly five star , but thats not really a big deal .	service	neutral
rude service , medicore $T$ . . . there are tons of restaurants in ny . . . stay away from this one	food	neutral
to sum it up : $T$ varies from good to mediorce , depending on which waiter you get ; generally it is just average ok .	service	neutral
to sum it up : $T$ varies from good to mediorce , depending on which waiter you get ; generally it is just average ok .	service	neutral
to sum it up : $T$ varies from good to mediorce , depending on which waiter you get ; generally it is just average ok .	service	neutral
the $T$ is cute but not upscale .	restaurant	neutral
the $T$ is cute but not upscale .	restaurant	neutral
the $T$ and fried dumplings were nothing out of the ordinary .	scallion pancakes	neutral
the scallion pancakes and $T$ were nothing out of the ordinary .	fried dumplings	neutral
sometimes i get good food and ok $T$ .	service	neutral
kind of a small $T$ but i guess if they are not too busy might be able to fit a group or kids .	place	neutral
the tables are crammed way too close , the $T$ is typical of any italian restaurant , and the wine list is simply overpriced .	menu	neutral
with the exception of our lemon salad that had so much pepper on it that our eyes started watering , the $T$ here was decent , not great .	food	neutral
with the exception of our lemon salad that had so much pepper on it that our eyes started watering , the $T$ here was decent , not great .	food	neutral
the $T$ in this place is very diner - ish and the kind of place you expect in the east village - not romantic , just simple , small and sparse .	decor	neutral
$T$ was good not great not worth the wait or another visit	food	neutral
the $T$ and ambience is ok but the food is what makes up for it .	location	neutral
the location and $T$ is ok but the food is what makes up for it .	ambience	neutral
the $T$ is ok , some of the people did n ' t get what they asked for .	service	neutral
$T$ is nothing special .	amma	neutral
this $T$ is always packed .	place	neutral
$T$ is average .	service	neutral
my friends settled for rice dishes , but we came back the following day to try the $T$ , which was good . . . not outstanding , but good .	dim sum	neutral
my friends settled for rice dishes , but we came back the following day to try the $T$ , which was good . . . not outstanding , but good .	dim sum	neutral
my friends settled for rice dishes , but we came back the following day to try the $T$ , which was good . . . not outstanding , but good .	dim sum	neutral
my son and his girlfriend both wanted $T$ and they were huge !	cheeseburgers	neutral
i had a huge $T$ .	pastrami sandwich on a roll	neutral
$T$ are ok , but be sure not to make any special requests !	bagels	neutral
the service was friendly and the $T$ was casual .	atmosphere	neutral
$T$ is a good restaurant , but it ' s nothing special .	rao	neutral
$T$ is a good restaurant , but it ' s nothing special .	rao	neutral
downtown dinner 2002 - prixe fix : $T$ were ok , waiter gave me poor suggestion . . . try the potato stuff kanish best one .	appetizers	neutral
$T$ was very good , but not what i would consider out of this world .	food	neutral
however , if you want great food at a great price and do n ' t mind the $T$ , you ca n ' t beat this place .	decor	neutral
$T$ was just average . . . if they lowered the prices just a bit , it would be a bigger draw .	food	neutral
the $T$ are huge , so it might be good to order three things to split ( rather than one appetizer and entree per person ) for two people .	portions	neutral
i have never before eaten 40 pieces of relatively good $T$ .	nigiri	neutral
$T$ was good , nothing spectacular .	lobster	neutral
$T$ was good , nothing spectacular .	lobster	neutral
its just a fun place to go , not a five star $T$ .	restaraunt	neutral
overpriced japanese food with mediocre $T$	service	neutral
$T$ was ok .	food	neutral
the bread we received was horrible - rock hard and cold - and the ` ` free ' ' $T$ was disappointing .	appetizer of olives	neutral
