sentence,predicted_term,gold_terms
They upgraded us to a beautiful suite without us even asking.,suite,they
"Check in: Staff are friendly, welcoming and smile brightly. We were greeted warmly and check-in was quick despite a few minor problems. We received serve juice, fruit and cold towels upon check-in. Very suitable after a tiring flight.",serve,serve
Miss Dieu served water enthusiastically and very thoughtfully led us to the room.,Miss Dieu,Miss Dieu
staff is wonderfully fun.,staff,staff
The service is great.,service,service
Exceptional staff and customer service.,staff,staff and customer service
The staff is great.,staff,staff
"Thank you very enthusiastic staff Hoang, Ngoc and you drive here.",staff,you drive
The service staff is very attentive.,service staff,conscientious
The staff is incredible.,staff,person
Staff is friendly and enthusiastic.,Staff,staff
The staff was great as always.,staff,staff
"Thank you Vinpearl's service for bringing wonderful moments of rest, and I will bring my family back here many more times.","moments of rest,",service
Staff is friendly.,Staff,staff
Xe takes you to your door.,Xe,xe
Khanh provides excellent services in providing tips for our Hanoi trip.,Khanh,Khanh
Vinh baggage assistance was enthusiastic.,baggage assistance,baggage assistance
Especially Hong NVCSKH is very enthusiastic and thoughtful in assisting guests with check-in.,Hong NVCSKH,Hong NVCSKH
"staff is extremely enthusiastic and cute, and has reasonable breakfast.",staff,staff
The receptionist friends Trang and Chieu are very friendly and enthusiastic.,receptionist,receptionist
Staff people are very thoughtful and friendly.,Staff,staff
Good room service.,room service.,room service
Staff is friendly.,Staff,staff
"In general, service is very OK.",service,service
There are some very good compliments and thanks to Friend Diep Minh Sang on service attitude FB.,service attitude,service attitude
"staff is extremely sweet and helpful, especially the receptionist.",staff,staff
All service is perfect.,service,service
Friendly helpful staff.,staff.,staff
Overall very pleased with the service.,service.,service
Thanh Phu's friend serves cheerfully.,Thanh Phu's friend,Thanh Phu's friend
Staff is very friendly and enthusiastic.,Staff,Staff
All staff are very happy and enthusiastic.,staff,staff
Their service is so personalised and welcoming.,service,service
I got a room upgrade for free.,room upgrade,room upgrade
The receptionist people are so lovely.,receptionist,receptionist
Thank you Hanh and Yen's friends.,Hanh and Yen's friends.,Hanh and Yen's friends
The service here is awesome.,service,service
The staff guided you to the room very enthusiastically.,staff,staff
Children serve is obedient and adorable.,Children serve,children serve
The staff here are very friendly.,staff,Giang friend
Many staff have impressive features.,staff,staff
"Good service, staff is friendly and attentive.",staff,staff
"However, the swimming pool and service are very good, you spa is very enthusiastic.",you spa,you
The staff is always enthusiastic.,staff,staff
Service quality is good.,Service quality,service quality
Friendly staff.,staff.,friendly
The staff is friendly and cheerful.,staff,staff
Staff people are very nice and enthusiastic.,Staff,staff
Staff is friendly and professional.,Staff,staff
The service is the best in Da Nang.,service,service
The serve is enthusiastic.,serve,serve
The staff is friendly and enthusiastic.,staff,staff
Thanks to Lauro at restaurant.,restaurant.,Lauro
Staff is cheerful and enthusiastic.,Staff,staff
Good service.,service.,service
Service quality is good.,Service quality,service quality
We felt comfortable.,We,the help
The staff is friendly.,staff,staff
"Good service, staff is cute and enthusiastic.",staff,staff
Thank you very much Mr. Technical department center for your enthusiastic and thoughtful support.,Mr. Technical department center,Mr. Technical department center
The staff is great.,staff,staff
Service staff is enthusiastic and friendly.,Service staff,Service staff
I came to Phu Quoc for the first time.,Phu Quoc,staff
There are many different types of service.,service.,service
Staff is very enthusiastic.,Staff,staff
Staff serves quickly and professionally.,Staff,Staff
Thank you Trang's friend for supporting the group a lot during our time here.,Trang's friend,Trang's friend
Ngoc friend in the lobby helped me a lot.,Ngoc friend,Ngoc friend
"Staff Thanh Huyen, Kim Lien, Chau dedicated.",Staff,Staff
Staff is dedicated.,Staff,Staff
The baggage staff is very enthusiastic and cheerful.,baggage staff,baggage staff
The staff is very enthusiastic.,staff,staff
The staff is fun.,staff,staff
Good serve.,serve.,serve
The hotel equipment is a bit old.,hotel equipment,serve
The staff is thoughtful and professional.,staff,You staff
Staff is very enthusiastic.,Staff,staff
The attitude of the service staff is 10 points.,service staff,service
Service is thoughtful.,Service,service
The service is very ok.,service,service
Khanh Le was friendly.,Khanh Le,Khanh Le
The shuttle bus is fast.,shuttle bus,shuttle bus
They were soo friendly.,They,They
Good service.,service.,service
Service quality is good.,Service quality,service quality
The room is clean.,room,Room
"First of all, it is located in the middle of Old Quarter so Hoan Kiem lake, night market, and especially beer street are in a walking distance.","Hoan Kiem lake, night market, and especially beer street",it
The rooms are clean.,rooms,resort
The room is modern.,room,interior
The landscape is very nice.,landscape,landscap
The garden design is beautiful.,garden design,garden design
The room is luxurious.,room,room
The room is clean.,room,room
The hotel is beautiful.,hotel,hotel
The towel is very big.,towel,towel
The hotel's private beach is great.,private beach,private beach
The lobby is cozy and comfortable.,lobby,space
The room is beautiful.,room,room
The room is very nice and clean.,room,surrounding area
The means of transportation is flexible.,means of transportation,means of transportation
The rooms are very comfortable.,rooms,rooms
The room is clean.,room,room
The condition is very good here.,condition,condition
The motel has a balcony area.,balcony area.,balcony area
The hotel infrastructure is very beautiful.,hotel infrastructure,hotel infrastructure
The room is clean.,room,view close to the sea
The location is good.,location,location
Here is quiet.,Here,here
The interior is luxurious and comfortable.,interior,interior
The beach is awesome.,beach,beach
The room is beautifully decorated.,room,Room
The surrounding space is wide.,space,Surrounding space
I stayed in a bathroom.,bathroom.,bathroom
The bathroom is clean every day.,bathroom,bathroom
The room is clean.,room,Room
The room is clean.,room,equipment in the room
The room is cleaned up.,room,Room
The restaurant is spacious.,restaurant,restaurant
Space has many trees.,Space,Space
The room view is beautiful.,room,Room view
The hotel is beautiful.,hotel,Hotel
The rooms are full of amenities.,amenities.,Rooms
The villas is very beautiful.,The villas,villas
"Luxurious, clean interior, green campus , super large hotel area.",campus,campus
The room has modern amenities.,room,room
The hotel is good.,hotel,hotel
Rooms are very new and comfortable.,Rooms,rooms
The view from the bedroom to the street is beautiful.,view,view
The room is a bit small.,room,Room
The hotel is very new.,hotel,hotel
The restaurants were all outstanding.,restaurants,restaurants
The property has a central location.,location.,location
The beach is clean and safe.,beach,beach
The beach is beautiful.,beach,beach
The Jacuzzi tub is very healthy.,Jacuzzi tub,Jacuzzi tub
The room is so beautiful.,room,room
The bedding is so soft (easy to sleep in).,bedding,bedding
The campus hotel is large.,campus,campus
The beach is extremely beautiful.,beach,beach
The lobby is intimate.,lobby,lobby
Vinpearl Resort and Golf PQ has brought me a memorable vacation.,vacation.,resort
The hotel is beautiful.,hotel,hotel
The view is beautiful.,view,View
The public area was clean.,public area,public area
The beds are comfortable.,beds,beds
Plenty of lounging areas.,lounging areas.,lounging areas
The room was very nice.,room,room
The room is clean.,room,room
The sea view is beautiful.,view,sea ​​view
The bathroom is large.,bathroom,bathroom
The space is very private.,space,space
The room is very satisfied.,room,room
The hotel is beautiful.,hotel,hotel
"There are a few shooting areas, but in return, every corner is virtual.",every corner,corner
The room is clean and airy.,room,room
The room is spacious.,room,room
The interior equipment is luxurious.,interior equipment,Interior equipment
The room was superb.,room,room
The room is clean.,room,room
The landscape is well taken care of.,landscape,grass and trees
The overall feel of the hotel/public spaces is very luxurious.,hotel/public spaces,overall feel of the hotel/public spaces
The hotel grounds is large.,hotel grounds,Hotel grounds
The view is nice.,view,view spa
The environment was comfortable.,environment,environment
The room is clean.,room,room
Nice hotel.,hotel.,amenities in the room
The space is ok.,space,space
The rooms are clean.,rooms,sea ​​view
The location is good.,location,location
The room is fully equipped.,room,Room
Will visit next time again.,next time,next time
We stated here twice - once at the beginning of our stay and at the end after a trip to the north. On our return we were given an upgrade to a bigger room which we really appreciated.,room,stay
I will choose Muong Thanh to stay.,Muong Thanh,Muong Thanh
Will come back on next occasion.,next occasion.,next occasion
next time will be here again.,next time,next time
Hopefully next time will receive a voucher when you visit.,next time,next time
next time set returns.,next time set,next time
The room is generally good.,room,room
Marriott has many restaurants.,Marriott,Marriott
The sea area is a bit small.,sea area,sea ​​area
The place is suitable for sunset photography.,place,place
The experience couldn't be better.,experience,experience
"In conclusion, this is a completely satisfied vacation trip for our family.",vacation trip,vacation trip
Price is good.,Price,price
The scenery is beautiful.,scenery,scenery
The hotel organised our vintage Vespa tour for 4 hours around Hanoi.,The hotel,vintage Vespa tour
It all makes the evening great.,evening,evening
The air in Amiana was enjoyable.,air,air
My family really likes this place.,this place.,this place
It was a lovely hotel.,hotel.,hotel
I went with friends.,I went with friends.,service experience
Thank you hotel for giving my family a wonderful experience.,experience.,experience
The hotel is awesome.,hotel,Hotel
My friend and I had a wonderful vacation at vinpearl Ha Long.,vacation,vacation
The staff is friendly.,staff,trip
The room price is quite good.,room price,room price
I am very satisfied with the hotel.,hotel.,hotel
Just a totally amazing stay.,stay.,stay
Thank you Crowne Plaza Danang Hotel for helping me have a wonderful honey moon.,honey moon.,honey moon
Quiet at the 5-star khu resort in the middle of summer.,khu resort,khu resort
My wife and I had a very memorable vacation at Vinpearl.,vacation,vacation
The room price conforms to 5s standards.,room price,room price
My wife and I had a very fun tour.,tour.,tour
The Executive Lounge experience was excellent.,Executive Lounge,Executive Lounge experience
Customers experience all services quality.,services,all services
Everything is good from shore to island.,Everything,everything
The hotel is quite good.,hotel,hotel
"Thank you to staff member Hao in the lobby, thank you for giving us a perfect vacation with the best experiences.",staff member Hao,experiences
"hotel is very beautiful, located right in the center, very wonderful.",hotel,hotel
The feel is comfortable and relaxing.,feel,feel
The vacation is very good.,vacation,vacation
Client experiences all quality services.,Client,client
The parking is.,parking,parking
Full utilities.,utilities.,utilities
The breakfast is the best I've experienced in any hotel so far.,breakfast,breakfast
The pool is large.,pool,pool
The restaurant is beautiful.,restaurant,restaurant
"Chef Cuong and Linh at Steam n Spice restaurant served us a delicious dinner with sum dishes, wonton noodles .,sum dishes.",wonton noodles,wonton noodles
Many utilities are included.,utilities,utilities
There was a good selection of cocktails.,cocktails.,cocktails
The food is also very delicious.,food,food
The beach is very nice and clean.,beach,Beach and swimming pool of the hotel area
The breakfast buffet is diverse.,breakfast buffet,breakfast buffet
Food and drinks at the hotel is delicious.,Food and drinks,food and drinks
The breakfast food is quite suitable.,breakfast food,breakfast food
This was the first time I have eaten abalone in years and it was fantastic.,abalone,abalone
The food is very delicious.,food,food
The morning buffet is delicious.,morning buffet,morning buffet
Breakfast has a wide variety of delicious chicken pho.,chicken pho.,breakfast
Food is rich.,Food,food
