entity_id,sentence,unit,predicted_term,gold_term,correct
1,they upgraded us to a beautiful suite without us even asking,They upgraded us to a beautiful suite without us even asking.,suite,they,0
6,Exceptional staff and customer service,Exceptional staff and customer service.,staff,staff and customer service,0
8,"Thank you very enthusiastic staff Hoang, Ngoc and you drive here","Thank you very enthusiastic staff Hoang, Ngoc and you drive here.",staff,you drive,0
9,The service staff is very attentive and conscientious,The service staff is very attentive.,service staff,conscientious,0
10,"Best of all is the incredible staff—every single person we met was warm, gracious and could not do enough to make our trip memorable",The staff is incredible.,staff,person,0
13,"Thank you Vinpearl's service for bringing wonderful moments of rest, and I will bring my family back here many more times.","Thank you Vinpearl's service for bringing wonderful moments of rest, and I will bring my family back here many more times.","moments of rest,",service,0
40,"The staff here are very friendly, the lovely Giang friend helped me a lot from the time I checked in to the time I checked out.",The staff here are very friendly.,staff,Giang friend,0
43,"However, the swimming pool and service are very good, you spa is very enthusiastic","However, the swimming pool and service are very good, you spa is very enthusiastic.",you spa,you,0
46,"friendly staff, enthusiastic",Friendly staff.,staff.,friendly,0
53,Thanks to Lauro at restaurant,Thanks to Lauro at restaurant.,restaurant.,Lauro,0
57,"Honestly, we felt comfortable and safe in Hanoi because of all the help",We felt comfortable.,We,the help,0
63,"I came to Phu Quoc for the first time and made a lucky choice to stay at the vinholiday fiesta hotel. Even though the hotel is 3*, the rooms and staff here are treated like 5*.",I came to Phu Quoc for the first time.,Phu Quoc,staff,0
75,"However, the hotel equipment is a bit old, but in return, serve 's enthusiasm and friendly staff are ok.",The hotel equipment is a bit old.,hotel equipment,serve,0
76,You staff is thoughtful and professional,The staff is thoughtful and professional.,staff,You staff,0
78,10 points for the attitude and professionalism of the service staff,The attitude of the service staff is 10 points.,service staff,service,0
87,"First of all, it is located in the middle of Old Quarter so Hoan Kiem lake, night market, and especially beer street are in a walking distance","First of all, it is located in the middle of Old Quarter so Hoan Kiem lake, night market, and especially beer street are in a walking distance.","Hoan Kiem lake, night market, and especially beer street",it,0
88,resort beautiful clean rooms with sea view and full services,The rooms are clean.,rooms,resort,0
89,Modern interior clean room,The room is modern.,room,interior,0
90,"the landscap is very nice, green, and clean",The landscape is very nice.,landscape,landscap,0
97,"First time coming to the hotel, space has a cozy and comfortable lobby for taking beautiful photos",The lobby is cozy and comfortable.,lobby,space,0
99,The room as well as the surrounding area s are very nice and clean,The room is very nice and clean.,room,surrounding area,0
106,"The room is clean, a bit small but view close to the sea is brilliantly beautiful",The room is clean.,room,view close to the sea,0
112,Surrounding space wide,The surrounding space is wide.,space,Surrounding space,0
116,"The room is clean, spacious, fully equipment in the room , new furniture, very beautiful",The room is clean.,room,equipment in the room,0
120,1) Room view is beautiful,The room view is beautiful.,room,Room view,0
122,Rooms is full of amenities,The rooms are full of amenities.,amenities.,Rooms,0
123,"villas is very beautiful, the sea view is extremely poetic",The villas is very beautiful.,The villas,villas,0
141,"As one of the most beautiful resort s in the Vinpearl Phu Quoc system, Vinpearl Resort and Golf PQ has brought me a memorable vacation.",Vinpearl Resort and Golf PQ has brought me a memorable vacation.,vacation.,resort,0
149,sea ​​view is beautiful,The sea view is beautiful.,view,sea ​​view,0
154,"There are a few shooting areas, but in return, every corner is virtual","There are a few shooting areas, but in return, every corner is virtual.",every corner,corner,0
160,"The landscape is well taken care of, grass and trees is lush green & full of flowers",The landscape is well taken care of.,landscape,grass and trees,0
